meeting_id,participant_id,participant_status
1,2,ACCEPTED
1,1,ACCEPTED
1,6,ACCEPTED
1,9,PENDING
1,10,ACCEPTED
2,8,ACCEPTED
2,2,ACCEPTED
2,4,ACCEPTED
2,3,DECLINED
3,10,ACCEPTED
3,1,ACCEPTED
3,6,ACCEPTED
3,9,ACCEPTED
3,7,PENDING
4,2,ACCEPTED
4,1,ACCEPTED
4,9,ACCEPTED
4,7,ACCEPTED
5,3,ACCEPTED
5,2,ACCEPTED
5,1,ACCEPTED
5,8,ACCEPTED
5,4,PENDING
6,4,ACCEPTED
6,2,ACCEPTED
6,6,ACCEPTED
6,8,ACCEPTED
6,9,ACCEPTED
7,7,ACCEPTED
7,1,ACCEPTED
7,2,ACCEPTED
7,9,DECLINED
8,5,ACCEPTED
8,1,ACCEPTED
8,6,ACCEPTED
8,9,ACCEPTED
8,10,ACCEPTED
9,8,ACCEPTED
9,1,ACCEPTED
9,2,ACCEPTED
9,3,ACCEPTED
9,4,ACCEPTED
9,5,ACCEPTED
9,6,ACCEPTED
9,7,ACCEPTED
9,9,ACCEPTED
9,10,ACCEPTED
10,1,ACCEPTED
10,6,ACCEPTED
10,9,ACCEPTED
10,7,PENDING
